:ID@:LABEL@chcd_id@abbreviation@alternative_chinese_name_hanzi@alternative_chinese_name_romanized@alternative_name_western@baptism@baptismal_name_western@beatification@beatification_date@birth_day@birth_month@birth_place@birth_year@burial_place@cannonization_date@canonization@china_start@chinese_family_name_hanzi@chinese_family_name_romanized@chinese_given_name_hanzi@chinese_given_name_romanized@chinese_name_hanzi@chinese_name_romanized@christian_tradition@circulation@confirmation@corporate_entity_category@corporate_entity_subcategory@death_day@death_month@death_place@death_year@degree@embarkment@end_day@end_month@end_year@event_category@event_subcategory@family_name_western@format@gender@gender_served@given_name_western@institution_category@institution_subcategory@issue_frequency@latitude@longitude@name_rom@name_wes@name_western@name_zh@nationality@notes@occupation@ordination_archbishop@ordination_bishop@ordination_deacon@ordination_priest@other_abbreviation@price@publication_category@publication_language@publication_subcategory@religious_family@source@start_day@start_month@start_year@title@vestition
0@Institution@N_20069@@@@@@@@@@@@@@@@@@@@@@@Catholic@@@@@@@@@@@@@@@@@@@Male@@Religious@Mission@@@@@@House of Todos los Santos@@@recorded as being in Formosa@@@@@@@@@@@Dominican@OCIO-136@@@@@
1@Institution@N_21000@@@@@@@@@@@@@@@@@@@@@@@Catholic@@@@@@@@@@@@@@@@@@@@@Ecclesial@Mission@@@@@@SSpS Sisters in Gansu@@@Location recorded as Gansu@@@@@@@@@@@@@@@@@
2@Institution@N_20909@@@@@@@@@@@@@@@@@@@@@@@Catholic@@@@@@@@@@@@@@@@@@@@@Ecclesial@Mission@@@@@@SVD Fathers in Datong Hui and Tu Autonomous County@@@@@@@@@@@@@@@@@@@@
3@GeneralArea@G_00267@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Wujin District)@@@@@@@@@@@@@@@@@@@@
4@GeneralArea@G_00268@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Dongguan City)@@@@@@@@@@@@@@@@@@@@
5@GeneralArea@G_00269@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Wuqing District)@@@@@@@@@@@@@@@@@@@@
6@GeneralArea@G_00270@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Yuanyang County)@@@@@@@@@@@@@@@@@@@@
7@GeneralArea@G_00271@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Yiwu City)@@@@@@@@@@@@@@@@@@@@
8@GeneralArea@G_00272@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Pujiang County)@@@@@@@@@@@@@@@@@@@@
75@Person@P_024582@@@@Pedro d' Alcala@@@@@@@@1641.0@@@@@@@@@@@Catholic@@@@@14@9.0@@1705.0@@@@@@@@Alcalá@@Male@@ Pedro@@@@@@@@@@Spain@Buried in Poe-si-ki, Vicar of Samal@@@@@@@@@@@@"OCIO-207; CHENEY_"".../bishop/balcalap.html"@@@@Priest; Bishop@
76@Person@P_024570@@@@Magino@@@@@26.0@3.0@@1647.0@@@@@@Má@@@@@Catholic@@@@@3@1.0@@1732.0@@@@@@@@Ventallol@@Male@@ Magín@@@@@@@@@@Spain@Assigned to Parian's house, he joined the mission to Fo-kien where he managed the provincial vicariate. He was designated by Sr. de Tournon Apostolic administrator of Fo-kien province. Then he received the appointment of Apostolic Vicar and Bishop of Caristo.@@@@@@@@@@@@"OCIO-242; CHENEY_"".../bishop/bvental.html"@@@@Priest; Titular Bishop of Carystus@
77@Person@P_027271@@[字]汝鼎; [號]我存@Wen-tsao; Ruding (zi); Wocun, Wo-ts'un (hao)@Gregario@@Gregorio @@@@@@1615.0@@@@@羅@luó@文藻@wén zǎo@@@Catholic@@@@@27@2.0@@1691.0@@@@@@@@Lopez@@Male@@ Gregorio@@@@@@@@@@China@Bishop of Basilinopolis. Birth year recorded as 1616 in FM_1958_672-273 and 1615 in the Ocio Neira.@@@@@@@@@@@@FM_1958_672-273; OCIO_NEIRA_2000@@@@Bishop@
78@GeneralArea@G_00001@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (China)@@@@@@@@@@@@@@@@@@@@
79@GeneralArea@G_00002@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Taiwan)@@@@@@@@@@@@@@@@@@@@
80@GeneralArea@G_00003@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Jirin)@@@@@@@@@@@@@@@@@@@@
81@GeneralArea@G_00004@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Jinan)@@@@@@@@@@@@@@@@@@@@
82@GeneralArea@G_00005@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Jining)@@@@@@@@@@@@@@@@@@@@
83@GeneralArea@G_00006@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Kaifeng)@@@@@@@@@@@@@@@@@@@@
84@GeneralArea@G_00007@@@@Kunming; Yunnanfu@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Kunming)@@@@@@@@@@@@@@@@@@@@
85@GeneralArea@G_00008@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Lanzhou)@@@@@@@@@@@@@@@@@@@@
86@GeneralArea@G_00009@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Tibet)@@@@@@@@@@@@@@@@@@@@
87@GeneralArea@G_00010@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Linyi)@@@@@@@@@@@@@@@@@@@@
88@GeneralArea@G_00011@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Lishui)@@@@@@@@@@@@@@@@@@@@
89@GeneralArea@G_00012@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Bengbu)@@@@@@@@@@@@@@@@@@@@
90@GeneralArea@G_00013@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Luoyang)@@@@@@@@@@@@@@@@@@@@
91@GeneralArea@G_00014@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Nanchang)@@@@@@@@@@@@@@@@@@@@
92@GeneralArea@G_00015@@@@Eastern Setchoan@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Nanchong)@@@@@@@@@@@@@@@@@@@@
93@GeneralArea@G_00016@@@@Nankin; Nanking@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Nanjing)@@@@@@@@@@@@@@@@@@@@
94@GeneralArea@G_00017@@@@Paotingfu@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Baoding)@@@@@@@@@@@@@@@@@@@@
95@GeneralArea@G_00018@@@@Ningpo@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Ningbo)@@@@@@@@@@@@@@@@@@@@
96@GeneralArea@G_00019@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Qingdao)@@@@@@@@@@@@@@@@@@@@
97@GeneralArea@G_00020@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Qiqihar)@@@@@@@@@@@@@@@@@@@@
98@GeneralArea@G_00021@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@General Area (Shangqiu)@@@@@@@@@@@@@@@@@@@@
